,Year,quarter,Bene_Geo_Desc,Bene_Mdcd_Mdcr_Enrl_Stus,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,Total_Bene_TH_Elig,Total_PartB_Enrl,Total_Bene_Telehealth,Pct_Telehealth
0,2020,1,Alabama,All,All,All,Aged,All,All,321952.0,410710.0,16321.0,0.0507
1,2020,1,Alabama,All,All,All,All,0-64,All,68081.0,93955.0,5254.0,0.0772
2,2020,1,Alabama,All,All,All,All,65-74,All,163291.0,217543.0,8652.0,0.053
3,2020,1,Alabama,All,All,All,All,75-84,All,113008.0,136957.0,5712.0,0.0505
4,2020,1,Alabama,All,All,All,All,85 and over,All,49169.0,59755.0,2178.0,0.0443
5,2020,1,Alabama,All,All,All,All,All,All,393549.0,508209.0,21796.0,0.0554
6,2020,1,Alabama,All,All,All,All,All,Rural,118360.0,152909.0,5760.0,0.0487
8,2020,1,Alabama,All,All,All,All,All,Urban,274137.0,353936.0,15977.0,0.0583
9,2020,1,Alabama,All,All,All,Disabled,All,All,63806.0,89556.0,5000.0,0.0784
10,2020,1,Alabama,All,All,All,ESRD,All,All,7791.0,7944.0,475.0,0.061
11,2020,1,Alabama,All,All,Female,All,All,All,224833.0,279224.0,13561.0,0.0603
12,2020,1,Alabama,All,All,Male,All,All,All,168716.0,228985.0,8235.0,0.0488
13,2020,1,Alabama,All,American Indian/Alaska Native,All,All,All,All,380.0,491.0,25.0,0.0658
14,2020,1,Alabama,All,Asian/Pacific Islander,All,All,All,All,1882.0,2940.0,79.0,0.042
15,2020,1,Alabama,All,Black/African American,All,All,All,All,66960.0,93186.0,3703.0,0.0553
16,2020,1,Alabama,All,Hispanic,All,All,All,All,3031.0,4441.0,151.0,0.0498
17,2020,1,Alabama,All,Non-Hispanic White,All,All,All,All,316866.0,400990.0,17605.0,0.0556
19,2020,1,Alabama,Medicare & Medicaid,All,All,All,All,All,80089.0,100779.0,4754.0,0.0594
20,2020,1,Alabama,Medicare Only,All,All,All,All,All,313460.0,407430.0,17042.0,0.0544
21,2020,1,Alaska,All,All,All,Aged,All,All,47101.0,77507.0,3178.0,0.0675
22,2020,1,Alaska,All,All,All,All,0-64,All,7146.0,10495.0,944.0,0.1321
23,2020,1,Alaska,All,All,All,All,65-74,All,27660.0,48206.0,1929.0,0.0697
24,2020,1,Alaska,All,All,All,All,75-84,All,14979.0,22758.0,976.0,0.0652
25,2020,1,Alaska,All,All,All,All,85 and over,All,4784.0,6881.0,290.0,0.0606
26,2020,1,Alaska,All,All,All,All,All,All,54569.0,88340.0,4139.0,0.0758
27,2020,1,Alaska,All,All,All,All,All,Rural,25528.0,41813.0,1992.0,0.078
29,2020,1,Alaska,All,All,All,All,All,Urban,27070.0,43092.0,2020.0,0.0746
30,2020,1,Alaska,All,All,All,Disabled,All,All,6818.0,10152.0,905.0,0.1327
31,2020,1,Alaska,All,All,All,ESRD,All,All,650.0,681.0,56.0,0.0862
32,2020,1,Alaska,All,All,Female,All,All,All,29361.0,44543.0,2367.0,0.0806
33,2020,1,Alaska,All,All,Male,All,All,All,25208.0,43797.0,1772.0,0.0703
34,2020,1,Alaska,All,American Indian/Alaska Native,All,All,All,All,7635.0,11115.0,811.0,0.1062
35,2020,1,Alaska,All,Asian/Pacific Islander,All,All,All,All,2092.0,3695.0,106.0,0.0507
36,2020,1,Alaska,All,Black/African American,All,All,All,All,1378.0,2260.0,121.0,0.0878
37,2020,1,Alaska,All,Hispanic,All,All,All,All,1361.0,2408.0,102.0,0.0749
38,2020,1,Alaska,All,Non-Hispanic White,All,All,All,All,40342.0,65661.0,2880.0,0.0714
40,2020,1,Alaska,Medicare & Medicaid,All,All,All,All,All,13634.0,19365.0,1456.0,0.1068
41,2020,1,Alaska,Medicare Only,All,All,All,All,All,40935.0,68975.0,2683.0,0.0655
42,2020,1,Arizona,All,All,All,Aged,All,All,468471.0,622770.0,26713.0,0.057
43,2020,1,Arizona,All,All,All,All,0-64,All,36383.0,52316.0,4251.0,0.1168
44,2020,1,Arizona,All,All,All,All,65-74,All,248141.0,350231.0,14677.0,0.0591
45,2020,1,Arizona,All,All,All,All,75-84,All,164539.0,204405.0,9300.0,0.0565
46,2020,1,Arizona,All,All,All,All,85 and over,All,59569.0,71946.0,3134.0,0.0526
47,2020,1,Arizona,All,All,All,All,All,All,508632.0,678898.0,31362.0,0.0617
48,2020,1,Arizona,All,All,All,All,All,Rural,73927.0,106163.0,3526.0,0.0477
50,2020,1,Arizona,All,All,All,All,All,Urban,433659.0,571165.0,27802.0,0.0641
51,2020,1,Arizona,All,All,All,Disabled,All,All,33078.0,48911.0,3924.0,0.1186
52,2020,1,Arizona,All,All,All,ESRD,All,All,7083.0,7217.0,725.0,0.1024
53,2020,1,Arizona,All,All,Female,All,All,All,281321.0,361467.0,18437.0,0.0655
54,2020,1,Arizona,All,All,Male,All,All,All,227311.0,317431.0,12925.0,0.0569
55,2020,1,Arizona,All,American Indian/Alaska Native,All,All,All,All,19419.0,24506.0,943.0,0.0486
56,2020,1,Arizona,All,Asian/Pacific Islander,All,All,All,All,7230.0,10752.0,362.0,0.0501
57,2020,1,Arizona,All,Black/African American,All,All,All,All,11231.0,16004.0,940.0,0.0837
58,2020,1,Arizona,All,Hispanic,All,All,All,All,36906.0,56743.0,2434.0,0.066
59,2020,1,Arizona,All,Non-Hispanic White,All,All,All,All,420519.0,552414.0,25902.0,0.0616
61,2020,1,Arizona,Medicare & Medicaid,All,All,All,All,All,57454.0,80173.0,5140.0,0.0895
62,2020,1,Arizona,Medicare Only,All,All,All,All,All,451178.0,598724.0,26222.0,0.0581
63,2020,1,Arkansas,All,All,All,Aged,All,All,258021.0,340541.0,10459.0,0.0405
64,2020,1,Arkansas,All,All,All,All,0-64,All,48048.0,66477.0,3969.0,0.0826
65,2020,1,Arkansas,All,All,All,All,65-74,All,130185.0,180872.0,5334.0,0.041
66,2020,1,Arkansas,All,All,All,All,75-84,All,91585.0,114615.0,3626.0,0.0396
67,2020,1,Arkansas,All,All,All,All,85 and over,All,38372.0,47239.0,1620.0,0.0422
68,2020,1,Arkansas,All,All,All,All,All,All,308190.0,409203.0,14549.0,0.0472
69,2020,1,Arkansas,All,All,All,All,All,Rural,139359.0,187354.0,6903.0,0.0495
71,2020,1,Arkansas,All,All,All,All,All,Urban,167297.0,219786.0,7572.0,0.0453
72,2020,1,Arkansas,All,All,All,Disabled,All,All,45731.0,64069.0,3875.0,0.0847
73,2020,1,Arkansas,All,All,All,ESRD,All,All,4438.0,4593.0,215.0,0.0484
74,2020,1,Arkansas,All,All,Female,All,All,All,177262.0,225526.0,8910.0,0.0503
75,2020,1,Arkansas,All,All,Male,All,All,All,130928.0,183677.0,5639.0,0.0431
76,2020,1,Arkansas,All,American Indian/Alaska Native,All,All,All,All,1103.0,1426.0,62.0,0.0562
77,2020,1,Arkansas,All,Asian/Pacific Islander,All,All,All,All,1533.0,2468.0,53.0,0.0346
78,2020,1,Arkansas,All,Black/African American,All,All,All,All,29693.0,41004.0,1635.0,0.0551
79,2020,1,Arkansas,All,Hispanic,All,All,All,All,3641.0,5713.0,156.0,0.0428
